eta to disney world	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Is the main road closed ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Dog walking group events	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
What time will I make it to San Francisco if I leave my parent 's house at 6 in the morning ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
What time will I need to leave my mom 's house in order to get to the Hollywood Bowl at 4 PM via the 101 ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_ARRIVAL ] [SL:PATH ] ]
What 's the distance between philly and New York	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Should I expect delays on the way to the rangers game ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] ]
Will I get to sams house before noon if I leave now ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DATE_TIME_ARRIVAL ] [SL:DATE_TIME_DEPARTURE ] ]
should I leave early now inorder to reach ghaziabad asap	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION ] ]
Current traffic time to the Perimeter	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
If I leave at 9 AM how long will it take me to get to Metro Airport using I 94	[IN:GET_ESTIMATED_DURATION [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:PATH ] ]
What is the traffic on the highway	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Send me traffic alerts	[IN:GET_INFO_TRAFFIC ]
How far is it from DC to San Diego	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
what 's going on in my area tonight	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
Are there any delays in traffic today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Concert dates for Bruno Mars in Alabama	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] [SL:LOCATION ] ]
any detours on the way home today	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME ] ]
How long will it take to drive from Milwaukee to Chicago	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
what 's the northbound traffic look like at the moment	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] ] ] ]
Traffic to Newark airport please	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Kid - friendly events in OKC	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:LOCATION ] ]
when is the Christmas village display	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ]
Is there a road construction in 1 - 15 ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
What 's going on tonight	[IN:GET_EVENT [SL:DATE_TIME ] ]
is traffic light on 101	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How long will it take me to get to Destin from Charleston today	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:SOURCE ] [SL:DATE_TIME_DEPARTURE ] ]
How long will it take for me to drive from here to Lowes if I leave now ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
What 's the traffic like from Milwaukee to Carbondale	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
please tell me the traffic conditions on route 295 between route 100 and route 32	[IN:GET_INFO_TRAFFIC [SL:PATH ] [SL:SOURCE ] [SL:DESTINATION ] ]
Are there construction delays along my route home from work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] ]
Anything to do this weekend	[IN:GET_EVENT [SL:DATE_TIME ] ]
Tell me what food festivals will be going on in September for Des Moines	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
what is traffic like today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
events for Philadelphia	[IN:GET_EVENT [SL:LOCATION ] ]
If I leave at 10 am will I make it to my last meeting with Steve in the afternoon , given the ice and snow on Garland Ave ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT ] [SL:ORDINAL ] [SL:CATEGORY_EVENT ] [SL:ATTENDEE_EVENT ] [SL:DATE_TIME ] ] ] [SL:ROAD_CONDITION ] [SL:ROAD_CONDITION ] ]
is 79 backed up	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
What 's happening in Staten Island next weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Kids events in the San Fernando Valley for the month of April	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Is there a lot of traffic this morning	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Traffic conditions for Main St	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Firework displays in Raleigh	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
fun holiday stuff to do in Philadelphia	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
how is traffic from home to school	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DESTINATION [IN:GET_LOCATION_SCHOOL ] ] ]
Will I encounter construction delays on my way to Crystal Bridges ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Any Lady Gaga concerts this week	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
any traffic within a 10 mile radius	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] ] ] ] ] ]
Are the roads to Moms house clear	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION ] ] ] ]
what is there to do this weekend near me	[IN:GET_EVENT [SL:DATE_TIME ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
Dance parties in Los Angeles next weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
are there holiday themed kids events happening downtown this weekend	[IN:GET_EVENT [SL:DATE_TIME ] [SL:ATTRIBUTE_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
food tours near me	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
How much time will it take to get downtown if I detour around the construction near Leon Springs ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:OBSTRUCTION_AVOID ] ]
Rock music events in Philly	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
How far is London from Leeds	[IN:GET_DISTANCE [SL:DESTINATION ] [SL:SOURCE ] ]
What is the traffic driving from Durham to Chapel Hill	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Where are Christmas light displays in Portland	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
is there heavy traffic today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Are the roads to Ahmed 's house clear ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
If I leave at 7 pm will there be a lot of traffic on 7th avenue ?	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
Is the traffic going to get bad today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
What is the traffic this morning on the 101	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
what can i do in manchester saturday night	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Are there accidents on my route	[IN:GET_INFO_TRAFFIC ]
is my route clear of delays	[IN:GET_INFO_TRAFFIC ]
I want to know what the traffic looks like on I - 35	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
where is the construction at on i 96	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Holiday cookie parties near me	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
What way should I take to make it to Plymouth by 5 tonight ?	[IN:GET_DIRECTIONS [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
What is the traffic like going to the Perfect Vodka Amphiteater	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
What is the shortest route to get to Billings Montana to get there by midnight	[IN:GET_DIRECTIONS [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
What is the distance in miles between Morris plains and Morris Town if i avoid the route 22 and take a detour at exit 30 .	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] [SL:PATH_AVOID ] [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] [SL:LOCATION_MODIFIER ] ] ] ]
What 's the traffic like heading to Philly	[IN:GET_INFO_TRAFFIC [SL:DESTINATION ] ]
Is the Houston traffic bad right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
when will traffic clear up	[IN:GET_INFO_TRAFFIC ]
what is traffic like on the bqe	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Any traffic updates in Poughkeepsie	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How do I get to phoenix by 7 pm ?	[IN:GET_DIRECTIONS [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
what is the distance to go to the gym	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Breakfast with Santa this weekend near Pittsburgh	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] [SL:DATE_TIME ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] ]
What is the fastest route to work	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Any food festival happening this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Is there traffic on the parkway	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
How do I get to the Grizzlies game at the Fedex forum ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ] ] ]
How long will my commute to work be	[IN:GET_ESTIMATED_DURATION [SL:PATH ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Is there a route from my house to Orlando that avoids all toll roads	[IN:GET_DIRECTIONS [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION ] [SL:PATH_AVOID ] ]
Whats traffic like this morning	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
anything happening today in provo	[IN:GET_EVENT [SL:LOCATION ] ]
Is the traffic heavy right now	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Events in Nashville	[IN:GET_EVENT [SL:LOCATION ] ]
Show traffic report for Cleveland	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Are there any sporting events in the area	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
When will I get home if I leave the Holiday Inn in Coffeyville Kansas at 10 am ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
How much traffic on my route to work today	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME ] ]
Where is the least traffic at for my drive home from work	[IN:GET_DIRECTIONS [SL:OBSTRUCTION_AVOID ] [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] ]
How many miles away is Willingboro NJ from Atlantic City NJ	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:DESTINATION ] [SL:SOURCE ] ]
What is the arrival time to Aunt Betty 's in Atlanta due to holiday traffic on the interstate ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION ] [SL:CONTACT ] [SL:LOCATION_CURRENT ] ] ] [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
is the traffic heavy on the I495	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
i need to get downtown by 6 PM from my home . give me detour free directions	[IN:GET_DIRECTIONS [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:PATH_AVOID ] ]
Shortest route to Des Moines	[IN:GET_DIRECTIONS [SL:DESTINATION ] ]
when I get to the border in Canada how much farther is Victoria	[IN:GET_DISTANCE [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] [SL:LOCATION_MODIFIER ] ] ] [SL:DESTINATION ] ]
Is traffic going to let up	[IN:GET_INFO_TRAFFIC ]
Concerts by Justin Timberlake	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
Anything fun happening in fort worth tonight	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
What is the drive like on the way to Riverbend Hospital right now ?	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
any road closures today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
How long will it take for me to drive from my house to work ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
what kind of country music concerts are happening in the next few months	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Is there expected fog tonight at 10 pm on Sacramento ave	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:DATE_TIME ] [SL:LOCATION ] ]
Current traffic situation	[IN:GET_INFO_TRAFFIC ]
How horrible is traffic on the highway	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Is my drive home from work longer than 30 minutes	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] ]
What is happening the week of Christmas	[IN:GET_EVENT [SL:DATE_TIME ] ]
The party starts at 8 on Saturday in White House , what time to I need to leave Carthage to make it on time .	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ] ] [SL:SOURCE ] ]
Is there going to be construction on Bleeker St ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How long should it take to get to the London Bridge in Lake Havasu from the Grand Canyon North Rim ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER ] ] ] [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
WHY IS THERE SO MUCH TRAFFIC ON UNIVERSITY , WHEN THIS IS USUALLY A TRAFFIC FREE ZONE	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Any snags in today 's commute home	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:PATH ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
how is traffic to go to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
What is the fastest route home from work , avoiding tolls and traffic	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] [SL:PATH_AVOID [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:OBSTRUCTION_AVOID ] ]
Will I have time to ride my bike to Family Video and be there by 4 : 30 ?	[IN:GET_ESTIMATED_ARRIVAL [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
houston traffic at 6 pm	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
New Years Eve parties in Sant Antonio for Singles	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:ATTRIBUTE_EVENT ] ]
are there any delays on the road today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Is Bethlehem going on this weekend at FBC Wiggins	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
What is traffic like in the evening	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
I want to go to Julie 's house but I have to arrive by 3PM , what time do I have to leave Buffalo to get there by then ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DATE_TIME_ARRIVAL ] [SL:SOURCE ] ]
does traffic look bad	[IN:GET_INFO_TRAFFIC ]
What 's going on in Raleigh next week	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Is there any road construction on 74 tomorrow ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Is there congestion between Water Mill and East Hampton tonight ?	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] [SL:DATE_TIME ] ]
how bad is the traffic in Chicago	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How far is Henderson from Summerlin ?	[IN:GET_DISTANCE [SL:DESTINATION ] [SL:SOURCE ] ]
what 's the traffic like for the way to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
If I leave at 8 PM what time can I be at Foxwoods casino	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
What festivals are near me	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
concerts by NKOTB next week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] [SL:DATE_TIME ] ]
what 's happening tonight in Miami	[IN:GET_EVENT [SL:DATE_TIME ] [SL:LOCATION ] ]
What time of day is traffic the worst in San Francisco	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How far to the library ?	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
funnest things for adults to do on a cruise	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] ]
Will you list some concerts that I could go to	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
I'm looking for something to do right away	[IN:GET_EVENT [SL:DATE_TIME ] ]
How much longer will my commute take due to this accident	[IN:GET_ESTIMATED_DURATION [SL:PATH ] ]
Free ukulele concerts this weekend	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Concerts by the Rolling Stones	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
Saturday brunch locations	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ]
what is the status of the accident on providence road	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How long is the drive from CA to NY	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
what is fun to do near me	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
Is it Icy now on 1 - 15 ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:DATE_TIME ] [SL:LOCATION ] ]
Is the traffic bad this afternoon	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Epilepsy support groups	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] ]
what is the traffic driving from phoenix to las vegas	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Kid friendly events near me	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
If the basketball game starts at 8 , what time should I leave my house , to get there in time ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
What time I need to leave work if i want to make it home by 4 pm ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_WORK ] ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_ARRIVAL ] ]
What is the distance between Rochester and New York City	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
How much longer will it take me to get to work due to this construction	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
I'm worried about flooding on Grand avenue , is it clear to go down Grand avenue out to highway 45 ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:LOCATION ] [SL:DESTINATION ] ]
how is the traffic to Montauk	[IN:GET_INFO_TRAFFIC [SL:DESTINATION ] ]
whats happening today	[IN:GET_EVENT [SL:DATE_TIME ] ]
Movies next week in Cleveland	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
What 's the fastest route by car to Laurel ?	[IN:GET_DIRECTIONS [SL:METHOD_TRAVEL ] [SL:DESTINATION ] ]
cooking workshops in noho	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Local traffic conditions	[IN:GET_INFO_TRAFFIC ]
When is 50 cent next concert in Paris	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:ORDINAL ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Flower show in Philadelphia within the next 6 months	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
What 's going on tonight	[IN:GET_EVENT [SL:DATE_TIME ] ]
Will there be heavy traffic on the 405 tonight	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Holiday Market events in Plymouth	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
What is the distance between San Diego and Los Angeles	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
where are today 's events	[IN:GET_EVENT [SL:DATE_TIME ] ]
What 's the distance between Omaha and Lincoln	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
What 's going on this weekend in my area	[IN:GET_EVENT [SL:DATE_TIME ] [SL:LOCATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
music this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Can you tell me the directions from the Maryland Zoo to DC please ?	[IN:GET_DIRECTIONS [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DESTINATION ] ]
movies at ten	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
How bad is the beach traffic today	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME ] ]
what 's the distance between Orlando and Pensacola	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Tell me what the traffic is on 44th st pinellas park	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
when does the event come to dayton	[IN:GET_EVENT [SL:LOCATION ] ]
How many miles from Miami Fl to Atlanta ga	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
Traffic in Concord New Hampshire	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Graduation celebrations	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
If I leave at 10 am , will I make it to my first class in school at noon ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_EVENT [SL:ATTENDEE_EVENT ] [SL:ORDINAL ] [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION_SCHOOL ] ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
If I leave at 9 when will I arrive at target	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
