How long will it take to drive from Chicago to Mississippi	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:SOURCE 8 9 ] [SL:DESTINATION 10 11 ] ]
Current traffic time to the Perimeter	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 4 6 ] ] ] ]
If I leave at 9 AM how long will it take me to get to Metro Airport using I 94	[IN:GET_ESTIMATED_DURATION [SL:DATE_TIME_DEPARTURE 3 6 ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 15 17 ] ] ] [SL:PATH 18 20 ] ]
What is the traffic on the highway	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 5 7 ] ] ] ]
Send me traffic alerts	[IN:GET_INFO_TRAFFIC ]
How far is it from DC to San Diego	[IN:GET_DISTANCE [SL:SOURCE 5 6 ] [SL:DESTINATION 7 9 ] ]
what 's going on in my area tonight	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER 5 7 ] ] ] [SL:DATE_TIME 7 8 ] ]
Are there any delays in traffic today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 6 7 ] ]
Concert dates for Bruno Mars in Alabama	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:NAME_EVENT 3 5 ] [SL:LOCATION 6 7 ] ]
any detours on the way home today	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME 6 7 ] ]
How long will it take to drive from Milwaukee to Chicago	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:SOURCE 8 9 ] [SL:DESTINATION 10 11 ] ]
what 's the northbound traffic look like at the moment	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER 3 4 ] ] ] ]
Traffic to Newark airport please	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 2 4 ] ] ] ]
Kid - friendly events in OKC	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 3 ] [SL:LOCATION 5 6 ] ]
when is the Christmas village display	[IN:GET_EVENT [SL:DATE_TIME 3 4 ] [SL:CATEGORY_EVENT 4 6 ] ]
Is there a road construction in 1 - 15 ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION 6 9 ] ]
What 's going on tonight	[IN:GET_EVENT [SL:DATE_TIME 4 5 ] ]
is traffic light on 101	[IN:GET_INFO_TRAFFIC [SL:LOCATION 4 5 ] ]
How long will it take me to get to Destin from Charleston today	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 9 10 ] [SL:SOURCE 11 12 ] [SL:DATE_TIME_DEPARTURE 12 13 ] ]
How long will it take for me to drive from here to Lowes if I leave now ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 8 9 ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 10 11 ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 12 13 ] ] ] [SL:DATE_TIME_DEPARTURE 16 17 ] ]
What 's the traffic like from Milwaukee to Carbondale	[IN:GET_INFO_TRAFFIC [SL:SOURCE 6 7 ] [SL:DESTINATION 8 9 ] ]
please tell me the traffic conditions on route 295 between route 100 and route 32	[IN:GET_INFO_TRAFFIC [SL:PATH 7 9 ] [SL:SOURCE 10 12 ] [SL:DESTINATION 13 15 ] ]
Are there construction delays along my route home from work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] ]
Anything to do this weekend	[IN:GET_EVENT [SL:DATE_TIME 3 5 ] ]
Tell me what food festivals will be going on in September for Des Moines	[IN:GET_EVENT [SL:CATEGORY_EVENT 3 5 ] [SL:DATE_TIME 9 11 ] [SL:LOCATION 12 14 ] ]
what is traffic like today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 4 5 ] ]
events for Philadelphia	[IN:GET_EVENT [SL:LOCATION 2 3 ] ]
If I leave at 10 am will I make it to my last meeting with Steve in the afternoon , given the ice and snow on Garland Ave ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE 3 6 ] [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT 11 12 ] [SL:ORDINAL 12 13 ] [SL:CATEGORY_EVENT 13 14 ] [SL:ATTENDEE_EVENT 15 16 ] [SL:DATE_TIME 16 19 ] ] ] [SL:ROAD_CONDITION 21 23 ] [SL:ROAD_CONDITION 24 25 ] ]
is 79 backed up	[IN:GET_INFO_TRAFFIC [SL:LOCATION 1 2 ] ]
What 's happening in Staten Island next weekend	[IN:GET_EVENT [SL:LOCATION 4 6 ] [SL:DATE_TIME 6 8 ] ]
Kids events in the San Fernando Valley for the month of April	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 1 ] [SL:LOCATION 3 7 ] [SL:DATE_TIME 7 12 ] ]
Is there a lot of traffic this morning	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 6 8 ] ]
Traffic conditions for Main St	[IN:GET_INFO_TRAFFIC [SL:LOCATION 3 5 ] ]
Firework displays in Raleigh	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 3 4 ] ]
fun holiday stuff to do in Philadelphia	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 3 ] [SL:LOCATION 6 7 ] ]
how is traffic from home to school	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DESTINATION [IN:GET_LOCATION_SCHOOL ] ] ]
Will I encounter construction delays on my way to Crystal Bridges ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 9 11 ] ] ] ]
Any Lady Gaga concerts this week	[IN:GET_EVENT [SL:NAME_EVENT 1 3 ] [SL:CATEGORY_EVENT 3 4 ] [SL:DATE_TIME 4 6 ] ]
any traffic within a 10 mile radius	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS 2 7 ] ] ] ] ] ]
Are the roads to Moms house clear	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION 4 5 ] ] ] ]
what is there to do this weekend near me	[IN:GET_EVENT [SL:DATE_TIME 5 7 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 7 8 ] [SL:LOCATION_USER 8 9 ] ] ] ]
Dance parties in Los Angeles next weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 3 5 ] [SL:DATE_TIME 5 7 ] ]
are there holiday themed kids events happening downtown this weekend	[IN:GET_EVENT [SL:DATE_TIME 2 3 ] [SL:ATTRIBUTE_EVENT 4 5 ] [SL:LOCATION 7 8 ] [SL:DATE_TIME 8 10 ] ]
food tours near me	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 2 3 ] [SL:LOCATION_USER 3 4 ] ] ] ]
How much time will it take to get downtown if I detour around the construction near Leon Springs ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 8 9 ] [SL:OBSTRUCTION_AVOID 13 15 ] ]
Rock music events in Philly	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 3 ] [SL:LOCATION 4 5 ] ]
How far is London from Leeds	[IN:GET_DISTANCE [SL:DESTINATION 3 4 ] [SL:SOURCE 5 6 ] ]
What is the traffic driving from Durham to Chapel Hill	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL 4 5 ] [SL:SOURCE 6 7 ] [SL:DESTINATION 8 10 ] ]
Where are Christmas light displays in Portland	[IN:GET_EVENT [SL:DATE_TIME 2 3 ] [SL:CATEGORY_EVENT 3 5 ] [SL:LOCATION 6 7 ] ]
is there heavy traffic today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 4 5 ] ]
Are the roads to Ahmed 's house clear ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT 4 5 ] ] ] ]
If I leave at 7 pm will there be a lot of traffic on 7th avenue ?	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 3 6 ] [SL:LOCATION 14 16 ] ]
Is the traffic going to get bad today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 7 8 ] ]
What is the traffic this morning on the 101	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 4 6 ] [SL:LOCATION 7 9 ] ]
what can i do in manchester saturday night	[IN:GET_EVENT [SL:LOCATION 5 6 ] [SL:DATE_TIME 6 8 ] ]
Are there accidents on my route	[IN:GET_INFO_TRAFFIC ]
is my route clear of delays	[IN:GET_INFO_TRAFFIC ]
I want to know what the traffic looks like on I - 35	[IN:GET_INFO_TRAFFIC [SL:LOCATION 10 13 ] ]
where is the construction at on i 96	[IN:GET_INFO_TRAFFIC [SL:LOCATION 6 8 ] ]
Holiday cookie parties near me	[IN:GET_EVENT [SL:DATE_TIME 0 1 ] [SL:CATEGORY_EVENT 1 3 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 3 4 ] [SL:LOCATION_USER 4 5 ] ] ] ]
What way should I take to make it to Plymouth by 5 tonight ?	[IN:GET_DIRECTIONS [SL:DESTINATION 9 10 ] [SL:DATE_TIME_ARRIVAL 10 13 ] ]
What is the traffic like going to the Perfect Vodka Amphiteater	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 7 11 ] ] ] ]
What is the shortest route to get to Billings Montana to get there by midnight	[IN:GET_DIRECTIONS [SL:DESTINATION 8 10 ] [SL:DATE_TIME_ARRIVAL 13 15 ] ]
What is the distance in miles between Morris plains and Morris Town if i avoid the route 22 and take a detour at exit 30 .	[IN:GET_DISTANCE [SL:UNIT_DISTANCE 5 6 ] [SL:SOURCE 7 9 ] [SL:DESTINATION 10 12 ] [SL:PATH_AVOID 15 18 ] [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION 21 22 ] [SL:LOCATION_MODIFIER 23 25 ] ] ] ]
What 's the traffic like heading to Philly	[IN:GET_INFO_TRAFFIC [SL:DESTINATION 7 8 ] ]
Is the Houston traffic bad right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION 2 3 ] [SL:DATE_TIME 5 7 ] ]
when will traffic clear up	[IN:GET_INFO_TRAFFIC ]
what is traffic like on the bqe	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 7 ] ]
Any traffic updates in Poughkeepsie	[IN:GET_INFO_TRAFFIC [SL:LOCATION 4 5 ] ]
How do I get to phoenix by 7 pm ?	[IN:GET_DIRECTIONS [SL:DESTINATION 5 6 ] [SL:DATE_TIME_ARRIVAL 6 9 ] ]
what is the distance to go to the gym	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 7 9 ] ] ] ]
Breakfast with Santa this weekend near Pittsburgh	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:NAME_EVENT 2 3 ] [SL:DATE_TIME 3 5 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 5 6 ] [SL:LOCATION 6 7 ] ] ] ]
What is the fastest route to work	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Any food festival happening this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 3 ] [SL:DATE_TIME 4 6 ] ]
Is there traffic on the parkway	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 4 6 ] ] ] ]
How do I get to the Grizzlies game at the Fedex forum ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT 6 7 ] [SL:CATEGORY_EVENT 7 8 ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP 9 12 ] ] ] ] ] ]
How long will my commute to work be	[IN:GET_ESTIMATED_DURATION [SL:PATH 3 5 ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Is there a route from my house to Orlando that avoids all toll roads	[IN:GET_DIRECTIONS [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT 5 6 ] ] ] [SL:DESTINATION 8 9 ] [SL:PATH_AVOID 12 14 ] ]
Whats traffic like this morning	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 3 5 ] ]
anything happening today in provo	[IN:GET_EVENT [SL:LOCATION 4 5 ] ]
Is the traffic heavy right now	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 4 6 ] ]
Events in Nashville	[IN:GET_EVENT [SL:LOCATION 2 3 ] ]
Show traffic report for Cleveland	[IN:GET_INFO_TRAFFIC [SL:LOCATION 4 5 ] ]
Are there any sporting events in the area	[IN:GET_EVENT [SL:CATEGORY_EVENT 3 5 ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER 6 8 ] ] ] ]
When will I get home if I leave the Holiday Inn in Coffeyville Kansas at 10 am ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP 8 11 ] [SL:LOCATION_MODIFIER 12 14 ] ] ] [SL:DATE_TIME_DEPARTURE 14 17 ] ]
How much traffic on my route to work today	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME 8 9 ] ]
Where is the least traffic at for my drive home from work	[IN:GET_DIRECTIONS [SL:OBSTRUCTION_AVOID 4 5 ] [SL:METHOD_TRAVEL 8 9 ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] ]
How many miles away is Willingboro NJ from Atlantic City NJ	[IN:GET_DISTANCE [SL:UNIT_DISTANCE 2 3 ] [SL:DESTINATION 5 7 ] [SL:SOURCE 8 11 ] ]
What is the arrival time to Aunt Betty 's in Atlanta due to holiday traffic on the interstate ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION 6 7 ] [SL:CONTACT 7 8 ] [SL:LOCATION_CURRENT 10 11 ] ] ] [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION 16 18 ] ] ] ]
is the traffic heavy on the I495	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 7 ] ]
i need to get downtown by 6 PM from my home . give me detour free directions	[IN:GET_DIRECTIONS [SL:DESTINATION 4 5 ] [SL:DATE_TIME_ARRIVAL 5 8 ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT 9 10 ] ] ] [SL:PATH_AVOID 14 15 ] ]
Shortest route to Des Moines	[IN:GET_DIRECTIONS [SL:DESTINATION 3 5 ] ]
when I get to the border in Canada how much farther is Victoria	[IN:GET_DISTANCE [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION 4 6 ] [SL:LOCATION_MODIFIER 7 8 ] ] ] [SL:DESTINATION 12 13 ] ]
Is traffic going to let up	[IN:GET_INFO_TRAFFIC ]
Concerts by Justin Timberlake	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:NAME_EVENT 2 4 ] ]
Anything fun happening in fort worth tonight	[IN:GET_EVENT [SL:LOCATION 4 6 ] [SL:DATE_TIME 6 7 ] ]
What is the drive like on the way to Riverbend Hospital right now ?	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL 3 4 ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 9 11 ] ] ] [SL:DATE_TIME 11 13 ] ]
any road closures today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 3 4 ] ]
How long will it take for me to drive from my house to work ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 8 9 ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT 10 11 ] ] ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
what kind of country music concerts are happening in the next few months	[IN:GET_EVENT [SL:CATEGORY_EVENT 3 6 ] [SL:DATE_TIME 8 13 ] ]
Is there expected fog tonight at 10 pm on Sacramento ave	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION 3 4 ] [SL:DATE_TIME 4 8 ] [SL:LOCATION 9 11 ] ]
Current traffic situation	[IN:GET_INFO_TRAFFIC ]
How horrible is traffic on the highway	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 5 7 ] ] ] ]
Is my drive home from work longer than 30 minutes	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 2 3 ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] ]
What is happening the week of Christmas	[IN:GET_EVENT [SL:DATE_TIME 3 7 ] ]
The party starts at 8 on Saturday in White House , what time to I need to leave Carthage to make it on time .	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:DATE_TIME 3 7 ] [SL:LOCATION 8 10 ] ] ] [SL:SOURCE 18 19 ] ]
Is there going to be construction on Bleeker St ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION 7 9 ] ]
How long should it take to get to the London Bridge in Lake Havasu from the Grand Canyon North Rim ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 8 11 ] [SL:LOCATION_MODIFIER 12 14 ] ] ] [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP 15 20 ] ] ] ]
WHY IS THERE SO MUCH TRAFFIC ON UNIVERSITY , WHEN THIS IS USUALLY A TRAFFIC FREE ZONE	[IN:GET_INFO_TRAFFIC [SL:LOCATION 7 8 ] ]
Any snags in today 's commute home	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 3 4 ] [SL:PATH 5 6 ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
how is traffic to go to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
What is the fastest route home from work , avoiding tolls and traffic	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] [SL:PATH_AVOID [IN:GET_LOCATION [SL:CATEGORY_LOCATION 10 11 ] ] ] [SL:OBSTRUCTION_AVOID 12 13 ] ]
Will I have time to ride my bike to Family Video and be there by 4 : 30 ?	[IN:GET_ESTIMATED_ARRIVAL [SL:METHOD_TRAVEL 7 8 ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 9 11 ] ] ] [SL:DATE_TIME_ARRIVAL 14 18 ] ]
houston traffic at 6 pm	[IN:GET_INFO_TRAFFIC [SL:LOCATION 0 1 ] [SL:DATE_TIME 2 5 ] ]
New Years Eve parties in Sant Antonio for Singles	[IN:GET_EVENT [SL:DATE_TIME 0 3 ] [SL:CATEGORY_EVENT 3 4 ] [SL:LOCATION 5 7 ] [SL:ATTRIBUTE_EVENT 8 9 ] ]
are there any delays on the road today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 7 8 ] ]
Is Bethlehem going on this weekend at FBC Wiggins	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 2 ] [SL:DATE_TIME 4 6 ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP 7 9 ] ] ] ]
What is traffic like in the evening	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 4 7 ] ]
I want to go to Julie 's house but I have to arrive by 3PM , what time do I have to leave Buffalo to get there by then ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT 5 6 ] ] ] [SL:DATE_TIME_ARRIVAL 13 15 ] [SL:SOURCE 23 24 ] ]
does traffic look bad	[IN:GET_INFO_TRAFFIC ]
What 's going on in Raleigh next week	[IN:GET_EVENT [SL:LOCATION 5 6 ] [SL:DATE_TIME 6 8 ] ]
Is there any road construction on 74 tomorrow ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION 6 7 ] [SL:DATE_TIME 7 8 ] ]
Is there congestion between Water Mill and East Hampton tonight ?	[IN:GET_INFO_TRAFFIC [SL:SOURCE 4 6 ] [SL:DESTINATION 7 9 ] [SL:DATE_TIME 9 10 ] ]
how bad is the traffic in Chicago	[IN:GET_INFO_TRAFFIC [SL:LOCATION 6 7 ] ]
How far is Henderson from Summerlin ?	[IN:GET_DISTANCE [SL:DESTINATION 3 4 ] [SL:SOURCE 5 6 ] ]
what 's the traffic like for the way to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
If I leave at 8 PM what time can I be at Foxwoods casino	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE 3 6 ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 12 14 ] ] ] ]
What festivals are near me	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 2 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 3 4 ] [SL:LOCATION_USER 4 5 ] ] ] ]
concerts by NKOTB next week	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:NAME_EVENT 2 3 ] [SL:DATE_TIME 3 5 ] ]
what 's happening tonight in Miami	[IN:GET_EVENT [SL:DATE_TIME 3 4 ] [SL:LOCATION 5 6 ] ]
What time of day is traffic the worst in San Francisco	[IN:GET_INFO_TRAFFIC [SL:LOCATION 9 11 ] ]
How far to the library ?	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 3 5 ] ] ] ]
funnest things for adults to do on a cruise	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 3 4 ] [SL:CATEGORY_EVENT 7 9 ] ]
Will you list some concerts that I could go to	[IN:GET_EVENT [SL:CATEGORY_EVENT 4 5 ] ]
I'm looking for something to do right away	[IN:GET_EVENT [SL:DATE_TIME 6 8 ] ]
How much longer will my commute take due to this accident	[IN:GET_ESTIMATED_DURATION [SL:PATH 4 6 ] ]
Free ukulele concerts this weekend	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 1 ] [SL:CATEGORY_EVENT 1 3 ] [SL:DATE_TIME 3 5 ] ]
Concerts by the Rolling Stones	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:NAME_EVENT 2 5 ] ]
Saturday brunch locations	[IN:GET_EVENT [SL:DATE_TIME 0 1 ] [SL:CATEGORY_EVENT 1 2 ] ]
what is the status of the accident on providence road	[IN:GET_INFO_TRAFFIC [SL:LOCATION 8 10 ] ]
How long is the drive from CA to NY	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 4 5 ] [SL:SOURCE 6 7 ] [SL:DESTINATION 8 9 ] ]
what is fun to do near me	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 5 6 ] [SL:LOCATION_USER 6 7 ] ] ] ]
Is it Icy now on 1 - 15 ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION 2 3 ] [SL:DATE_TIME 3 4 ] [SL:LOCATION 5 8 ] ]
Is the traffic bad this afternoon	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 4 6 ] ]
Epilepsy support groups	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 1 ] [SL:CATEGORY_EVENT 1 3 ] ]
what is the traffic driving from phoenix to las vegas	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL 4 5 ] [SL:SOURCE 6 7 ] [SL:DESTINATION 8 10 ] ]
Kid friendly events near me	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 2 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 3 4 ] [SL:LOCATION_USER 4 5 ] ] ] ]
If the basketball game starts at 8 , what time should I leave my house , to get there in time ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT 1 4 ] [SL:DATE_TIME 5 7 ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT 13 14 ] ] ] ]
What time I need to leave work if i want to make it home by 4 pm ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_WORK ] ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_ARRIVAL 14 17 ] ]
What is the distance between Rochester and New York City	[IN:GET_DISTANCE [SL:SOURCE 5 6 ] [SL:DESTINATION 7 10 ] ]
How much longer will it take me to get to work due to this construction	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
I'm worried about flooding on Grand avenue , is it clear to go down Grand avenue out to highway 45 ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION 3 4 ] [SL:LOCATION 5 7 ] [SL:DESTINATION 18 20 ] ]
how is the traffic to Montauk	[IN:GET_INFO_TRAFFIC [SL:DESTINATION 5 6 ] ]
whats happening today	[IN:GET_EVENT [SL:DATE_TIME 2 3 ] ]
Movies next week in Cleveland	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:DATE_TIME 1 3 ] [SL:LOCATION 4 5 ] ]
What 's the fastest route by car to Laurel ?	[IN:GET_DIRECTIONS [SL:METHOD_TRAVEL 6 7 ] [SL:DESTINATION 8 9 ] ]
cooking workshops in noho	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 3 4 ] ]
Local traffic conditions	[IN:GET_INFO_TRAFFIC ]
When is 50 cent next concert in Paris	[IN:GET_EVENT [SL:NAME_EVENT 2 4 ] [SL:ORDINAL 4 5 ] [SL:CATEGORY_EVENT 5 6 ] [SL:LOCATION 7 8 ] ]
Flower show in Philadelphia within the next 6 months	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 3 4 ] [SL:DATE_TIME 4 9 ] ]
What 's going on tonight	[IN:GET_EVENT [SL:DATE_TIME 4 5 ] ]
Will there be heavy traffic on the 405 tonight	[IN:GET_INFO_TRAFFIC [SL:LOCATION 6 8 ] [SL:DATE_TIME 8 9 ] ]
Holiday Market events in Plymouth	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 3 ] [SL:LOCATION 4 5 ] ]
What is the distance between San Diego and Los Angeles	[IN:GET_DISTANCE [SL:SOURCE 5 7 ] [SL:DESTINATION 8 10 ] ]
where are today 's events	[IN:GET_EVENT [SL:DATE_TIME 2 3 ] ]
What 's the distance between Omaha and Lincoln	[IN:GET_DISTANCE [SL:SOURCE 5 6 ] [SL:DESTINATION 7 8 ] ]
What 's going on this weekend in my area	[IN:GET_EVENT [SL:DATE_TIME 4 6 ] [SL:LOCATION [IN:GET_LOCATION_HOME [SL:CONTACT 7 8 ] ] ] ]
music this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:DATE_TIME 1 3 ] ]
Can you tell me the directions from the Maryland Zoo to DC please ?	[IN:GET_DIRECTIONS [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP 7 10 ] ] ] [SL:DESTINATION 11 12 ] ]
